Date,IT Dep.,CostElement,Country,Budget
1/03/2020,Distribution,Telecomm,Belgium,96
1/04/2020,Distribution,Telecomm,Belgium,96
1/05/2020,Distribution,Telecomm,Belgium,96
1/06/2020,Distribution,Telecomm,Belgium,96
1/07/2020,Distribution,Telecomm,Belgium,96
1/08/2020,Distribution,Telecomm,Belgium,96
1/09/2020,Distribution,Telecomm,Belgium,96
1/10/2020,Distribution,Telecomm,Belgium,96
1/11/2020,Distribution,Telecomm,Belgium,96
1/12/2020,Distribution,Telecomm,Belgium,96
1/01/2020,Distribution,Telecomm,Canada,93
1/02/2020,Distribution,Telecomm,Canada,93
1/03/2020,Distribution,Telecomm,Canada,93
1/04/2020,Distribution,Telecomm,Canada,93
1/05/2020,Distribution,Telecomm,Canada,93
1/06/2020,Distribution,Telecomm,Canada,93
1/07/2020,Distribution,Telecomm,Canada,93
1/08/2020,Distribution,Telecomm,Canada,93
1/09/2020,Distribution,Telecomm,Canada,93
1/10/2020,Distribution,Telecomm,Canada,93
1/11/2020,Distribution,Telecomm,Canada,93
1/12/2020,Distribution,Telecomm,Canada,93
1/01/2020,Distribution,Telecomm,France,96
1/02/2020,Distribution,Telecomm,France,96
1/03/2020,Distribution,Telecomm,France,96
1/04/2020,Distribution,Telecomm,France,96
1/05/2020,Distribution,Telecomm,France,96
1/06/2020,Distribution,Telecomm,France,96
1/07/2020,Distribution,Telecomm,France,96
1/08/2020,Distribution,Telecomm,France,96
1/09/2020,Distribution,Telecomm,France,96
1/10/2020,Distribution,Telecomm,France,96
1/11/2020,Distribution,Telecomm,France,96
1/12/2020,Distribution,Telecomm,France,96
1/01/2020,Distribution,Telecomm,Germany,144
1/02/2020,Distribution,Telecomm,Germany,144
1/03/2020,Distribution,Telecomm,Germany,144
1/04/2020,Distribution,Telecomm,Germany,144
1/05/2020,Distribution,Telecomm,Germany,144
1/06/2020,Distribution,Telecomm,Germany,144
1/07/2020,Distribution,Telecomm,Germany,144
1/08/2020,Distribution,Telecomm,Germany,144
1/09/2020,Distribution,Telecomm,Germany,144
1/10/2020,Distribution,Telecomm,Germany,144
1/11/2020,Distribution,Telecomm,Germany,144
1/12/2020,Distribution,Telecomm,Germany,144
1/01/2020,Distribution,Telecomm,Italy,96
1/02/2020,Distribution,Telecomm,Italy,96
1/03/2020,Distribution,Telecomm,Italy,96
1/04/2020,Distribution,Telecomm,Italy,96
1/05/2020,Distribution,Telecomm,Italy,96
1/06/2020,Distribution,Telecomm,Italy,96
1/07/2020,Distribution,Telecomm,Italy,96
1/08/2020,Distribution,Telecomm,Italy,96
1/09/2020,Distribution,Telecomm,Italy,96
1/10/2020,Distribution,Telecomm,Italy,96
1/11/2020,Distribution,Telecomm,Italy,96
1/12/2020,Distribution,Telecomm,Italy,96
1/01/2020,Distribution,Telecomm,Spain,96
1/02/2020,Distribution,Telecomm,Spain,96
1/03/2020,Distribution,Telecomm,Spain,116
1/04/2020,Distribution,Telecomm,Spain,96
1/05/2020,Distribution,Telecomm,Spain,96
1/06/2020,Distribution,Telecomm,Spain,116
1/07/2020,Distribution,Telecomm,Spain,96
1/08/2020,Distribution,Telecomm,Spain,96
1/09/2020,Distribution,Telecomm,Spain,116
1/10/2020,Distribution,Telecomm,Spain,96
1/11/2020,Distribution,Telecomm,Spain,96
1/12/2020,Distribution,Telecomm,Spain,116
1/01/2020,Distribution,Telecomm,United Kingdom,100
1/02/2020,Distribution,Telecomm,United Kingdom,100
1/03/2020,Distribution,Telecomm,United Kingdom,100
1/04/2020,Distribution,Telecomm,United Kingdom,100
1/05/2020,Distribution,Telecomm,United Kingdom,100
1/06/2020,Distribution,Telecomm,United Kingdom,100
1/07/2020,Distribution,Telecomm,United Kingdom,100
1/08/2020,Distribution,Telecomm,United Kingdom,100
1/09/2020,Distribution,Telecomm,United Kingdom,100
1/10/2020,Distribution,Telecomm,United Kingdom,100
1/11/2020,Distribution,Telecomm,United Kingdom,100
1/12/2020,Distribution,Telecomm,United Kingdom,100
1/01/2020,Distribution,Training,Belgium,72
1/02/2020,Distribution,Training,Belgium,72
1/03/2020,Distribution,Training,Belgium,72
1/04/2020,Distribution,Training,Belgium,72
1/05/2020,Distribution,Training,Belgium,72
1/06/2020,Distribution,Training,Belgium,72
1/07/2020,Distribution,Training,Belgium,72
1/08/2020,Distribution,Training,Belgium,72
1/09/2020,Distribution,Training,Belgium,72
1/10/2020,Distribution,Training,Belgium,72
1/11/2020,Distribution,Training,Belgium,72
1/12/2020,Distribution,Training,Belgium,72
1/01/2020,Distribution,Training,Canada,70
1/02/2020,Distribution,Training,Canada,70
1/03/2020,Distribution,Training,Canada,70
1/04/2020,Distribution,Training,Canada,70
1/05/2020,Distribution,Training,Canada,70
1/06/2020,Distribution,Training,Canada,70
1/07/2020,Distribution,Training,Canada,70
1/08/2020,Distribution,Training,Canada,70
1/09/2020,Distribution,Training,Canada,70
1/10/2020,Distribution,Training,Canada,70
1/11/2020,Distribution,Training,Canada,70
1/12/2020,Distribution,Training,Canada,70
1/01/2020,Distribution,Training,France,72
1/02/2020,Distribution,Training,France,72
1/03/2020,Distribution,Training,France,72
1/04/2020,Distribution,Training,France,72
1/05/2020,Distribution,Training,France,72
1/06/2020,Distribution,Training,France,72
1/07/2020,Distribution,Training,France,72
1/08/2020,Distribution,Training,France,72
1/09/2020,Distribution,Training,France,72
1/10/2020,Distribution,Training,France,72
1/11/2020,Distribution,Training,France,72
1/12/2020,Distribution,Training,France,72
1/01/2020,Distribution,Training,Germany,108
1/02/2020,Distribution,Training,Germany,108
1/03/2020,Distribution,Training,Germany,108
1/04/2020,Distribution,Training,Germany,108
1/05/2020,Distribution,Training,Germany,108
1/06/2020,Distribution,Training,Germany,108
1/07/2020,Distribution,Training,Germany,108
1/08/2020,Distribution,Training,Germany,108
1/09/2020,Distribution,Training,Germany,108
1/10/2020,Distribution,Training,Germany,108
1/11/2020,Distribution,Training,Germany,108
1/12/2020,Distribution,Training,Germany,108
1/01/2020,Distribution,Training,Italy,72
1/02/2020,Distribution,Training,Italy,72
1/03/2020,Distribution,Training,Italy,72
1/04/2020,Distribution,Training,Italy,72
1/05/2020,Distribution,Training,Italy,72
1/06/2020,Distribution,Training,Italy,72
1/07/2020,Distribution,Training,Italy,72
1/08/2020,Distribution,Training,Italy,72
1/09/2020,Distribution,Training,Italy,72
1/10/2020,Distribution,Training,Italy,72
1/11/2020,Distribution,Training,Italy,72
1/12/2020,Distribution,Training,Italy,72
1/01/2020,Distribution,Training,Spain,72
1/02/2020,Distribution,Training,Spain,72
1/03/2020,Distribution,Training,Spain,459
1/04/2020,Distribution,Training,Spain,72
1/05/2020,Distribution,Training,Spain,72
1/06/2020,Distribution,Training,Spain,459
1/07/2020,Distribution,Training,Spain,72
1/08/2020,Distribution,Training,Spain,72
1/09/2020,Distribution,Training,Spain,459
1/10/2020,Distribution,Training,Spain,72
1/11/2020,Distribution,Training,Spain,72
1/12/2020,Distribution,Training,Spain,459
1/01/2020,Distribution,Training,United Kingdom,75
1/02/2020,Distribution,Training,United Kingdom,75
1/03/2020,Distribution,Training,United Kingdom,75
1/04/2020,Distribution,Training,United Kingdom,75
1/05/2020,Distribution,Training,United Kingdom,75
1/06/2020,Distribution,Training,United Kingdom,75
1/07/2020,Distribution,Training,United Kingdom,75
1/08/2020,Distribution,Training,United Kingdom,75
1/09/2020,Distribution,Training,United Kingdom,75
1/10/2020,Distribution,Training,United Kingdom,75
1/11/2020,Distribution,Training,United Kingdom,75
1/12/2020,Distribution,Training,United Kingdom,75
1/01/2020,Distribution,Travel,Belgium,479
1/02/2020,Distribution,Travel,Belgium,479
1/03/2020,Distribution,Travel,Belgium,479
1/04/2020,Distribution,Travel,Belgium,479
1/05/2020,Distribution,Travel,Belgium,479
1/06/2020,Distribution,Travel,Belgium,479
1/07/2020,Distribution,Travel,Belgium,479
1/08/2020,Distribution,Travel,Belgium,479
1/09/2020,Distribution,Travel,Belgium,479
1/10/2020,Distribution,Travel,Belgium,479
1/11/2020,Distribution,Travel,Belgium,479
1/12/2020,Distribution,Travel,Belgium,479
1/01/2020,Distribution,Travel,Canada,561
1/02/2020,Distribution,Travel,Canada,561
1/03/2020,Distribution,Travel,Canada,561
1/04/2020,Distribution,Travel,Canada,561
1/05/2020,Distribution,Travel,Canada,561
1/06/2020,Distribution,Travel,Canada,561
1/07/2020,Distribution,Travel,Canada,561
1/08/2020,Distribution,Travel,Canada,561
1/09/2020,Distribution,Travel,Canada,561
1/10/2020,Distribution,Travel,Canada,561
1/11/2020,Distribution,Travel,Canada,561
1/12/2020,Distribution,Travel,Canada,561
1/01/2020,Distribution,Travel,France,479
1/02/2020,Distribution,Travel,France,479
1/03/2020,Distribution,Travel,France,479
1/04/2020,Distribution,Travel,France,479
1/05/2020,Distribution,Travel,France,479
1/06/2020,Distribution,Travel,France,479
1/07/2020,Distribution,Travel,France,479
1/08/2020,Distribution,Travel,France,479
1/09/2020,Distribution,Travel,France,479
1/10/2020,Distribution,Travel,France,479
1/11/2020,Distribution,Travel,France,479
1/12/2020,Distribution,Travel,France,479
1/01/2020,Distribution,Travel,Germany,718
1/02/2020,Distribution,Travel,Germany,718
1/03/2020,Distribution,Travel,Germany,718
1/04/2020,Distribution,Travel,Germany,718
1/05/2020,Distribution,Travel,Germany,718
1/06/2020,Distribution,Travel,Germany,718
1/07/2020,Distribution,Travel,Germany,718
1/08/2020,Distribution,Travel,Germany,718
1/09/2020,Distribution,Travel,Germany,718
1/10/2020,Distribution,Travel,Germany,718
1/11/2020,Distribution,Travel,Germany,718
1/12/2020,Distribution,Travel,Germany,718
1/01/2020,Distribution,Travel,Italy,479
1/02/2020,Distribution,Travel,Italy,479
1/03/2020,Distribution,Travel,Italy,479
1/04/2020,Distribution,Travel,Italy,479
1/05/2020,Distribution,Travel,Italy,479
1/06/2020,Distribution,Travel,Italy,479
1/07/2020,Distribution,Travel,Italy,479
1/08/2020,Distribution,Travel,Italy,479
1/09/2020,Distribution,Travel,Italy,479
1/10/2020,Distribution,Travel,Italy,479
1/11/2020,Distribution,Travel,Italy,479
1/12/2020,Distribution,Travel,Italy,479
1/01/2020,Distribution,Travel,Spain,479
1/02/2020,Distribution,Travel,Spain,479
1/03/2020,Distribution,Travel,Spain,571
1/04/2020,Distribution,Travel,Spain,479
1/05/2020,Distribution,Travel,Spain,479
1/06/2020,Distribution,Travel,Spain,571
1/07/2020,Distribution,Travel,Spain,479
1/08/2020,Distribution,Travel,Spain,479
1/09/2020,Distribution,Travel,Spain,571
1/10/2020,Distribution,Travel,Spain,479
1/11/2020,Distribution,Travel,Spain,479
1/12/2020,Distribution,Travel,Spain,571
1/01/2020,Distribution,Travel,United Kingdom,500
1/02/2020,Distribution,Travel,United Kingdom,500
1/03/2020,Distribution,Travel,United Kingdom,500
1/04/2020,Distribution,Travel,United Kingdom,500
1/05/2020,Distribution,Travel,United Kingdom,500
1/06/2020,Distribution,Travel,United Kingdom,500
1/07/2020,Distribution,Travel,United Kingdom,500
1/08/2020,Distribution,Travel,United Kingdom,500
1/09/2020,Distribution,Travel,United Kingdom,500
1/10/2020,Distribution,Travel,United Kingdom,500
1/11/2020,Distribution,Travel,United Kingdom,500
1/12/2020,Distribution,Travel,United Kingdom,500
1/01/2020,Distribution,Vehicles,Canada,234
1/02/2020,Distribution,Vehicles,Canada,234
1/03/2020,Distribution,Vehicles,Canada,234
1/04/2020,Distribution,Vehicles,Canada,234
1/05/2020,Distribution,Vehicles,Canada,234
1/06/2020,Distribution,Vehicles,Canada,234
1/07/2020,Distribution,Vehicles,Canada,234
1/08/2020,Distribution,Vehicles,Canada,234
1/09/2020,Distribution,Vehicles,Canada,234
1/10/2020,Distribution,Vehicles,Canada,234
1/11/2020,Distribution,Vehicles,Canada,234
1/12/2020,Distribution,Vehicles,Canada,234
1/01/2020,Document Management,Administrative,USA,"-42,979"
1/02/2020,Document Management,Administrative,USA,"-42,979"
1/03/2020,Document Management,Administrative,USA,"-42,979"
1/04/2020,Document Management,Administrative,USA,"-42,979"
1/05/2020,Document Management,Administrative,USA,"-42,979"
1/06/2020,Document Management,Administrative,USA,"-118,579"
1/07/2020,Document Management,Administrative,USA,"-118,579"
1/08/2020,Document Management,Administrative,USA,"-118,579"
1/09/2020,Document Management,Administrative,USA,"-118,579"
1/10/2020,Document Management,Administrative,USA,"-118,579"
1/11/2020,Document Management,Administrative,USA,"-118,579"
1/12/2020,Document Management,Administrative,USA,"-118,579"
1/01/2020,Document Management,Depreciation,USA,204
1/02/2020,Document Management,Depreciation,USA,204
1/03/2020,Document Management,Depreciation,USA,204
1/04/2020,Document Management,Depreciation,USA,204
1/05/2020,Document Management,Depreciation,USA,204
1/06/2020,Document Management,Depreciation,USA,204
1/07/2020,Document Management,Depreciation,USA,204
1/08/2020,Document Management,Depreciation,USA,204
1/09/2020,Document Management,Depreciation,USA,204
1/10/2020,Document Management,Depreciation,USA,204
1/11/2020,Document Management,Depreciation,USA,204
1/12/2020,Document Management,Depreciation,USA,204
1/01/2020,Document Management,Employee Performance,USA,334
1/02/2020,Document Management,Employee Performance,USA,334
1/03/2020,Document Management,Employee Performance,USA,334
1/04/2020,Document Management,Employee Performance,USA,334
1/05/2020,Document Management,Employee Performance,USA,334
1/06/2020,Document Management,Employee Performance,USA,334
1/07/2020,Document Management,Employee Performance,USA,334
1/08/2020,Document Management,Employee Performance,USA,334
1/09/2020,Document Management,Employee Performance,USA,334
1/10/2020,Document Management,Employee Performance,USA,334
1/11/2020,Document Management,Employee Performance,USA,334
1/12/2020,Document Management,Employee Performance,USA,334
1/01/2020,Document Management,External Labor,USA,"178,690"
1/02/2020,Document Management,External Labor,USA,"178,690"
1/03/2020,Document Management,External Labor,USA,"178,873"
1/04/2020,Document Management,External Labor,USA,"143,599"
1/05/2020,Document Management,External Labor,USA,"143,666"
1/06/2020,Document Management,External Labor,USA,"143,666"
1/07/2020,Document Management,External Labor,USA,"142,187"
1/08/2020,Document Management,External Labor,USA,"142,187"
1/09/2020,Document Management,External Labor,USA,"142,187"
1/10/2020,Document Management,External Labor,USA,"142,187"
1/11/2020,Document Management,External Labor,USA,"142,187"
1/12/2020,Document Management,External Labor,USA,"142,187"
1/01/2020,Document Management,Hardware,USA,125
1/02/2020,Document Management,Hardware,USA,125
1/03/2020,Document Management,Hardware,USA,125
1/04/2020,Document Management,Hardware,USA,125
1/05/2020,Document Management,Hardware,USA,125
1/06/2020,Document Management,Hardware,USA,125
1/07/2020,Document Management,Hardware,USA,125
1/08/2020,Document Management,Hardware,USA,125
1/09/2020,Document Management,Hardware,USA,125
1/10/2020,Document Management,Hardware,USA,125
1/11/2020,Document Management,Hardware,USA,125
1/12/2020,Document Management,Hardware,USA,125
1/01/2020,Document Management,Hardware Maintenance,USA,125
1/02/2020,Document Management,Hardware Maintenance,USA,125
1/03/2020,Document Management,Hardware Maintenance,USA,125
1/04/2020,Document Management,Hardware Maintenance,USA,125
1/05/2020,Document Management,Hardware Maintenance,USA,125
1/06/2020,Document Management,Hardware Maintenance,USA,125
1/07/2020,Document Management,Hardware Maintenance,USA,125
1/08/2020,Document Management,Hardware Maintenance,USA,125
1/09/2020,Document Management,Hardware Maintenance,USA,125
1/10/2020,Document Management,Hardware Maintenance,USA,125
1/11/2020,Document Management,Hardware Maintenance,USA,125
1/12/2020,Document Management,Hardware Maintenance,USA,125
1/01/2020,Document Management,Internal Labor,USA,"185,642"
1/02/2020,Document Management,Internal Labor,USA,"186,790"
1/03/2020,Document Management,Internal Labor,USA,"204,578"
1/04/2020,Document Management,Internal Labor,USA,"190,993"
1/05/2020,Document Management,Internal Labor,USA,"190,993"
1/06/2020,Document Management,Internal Labor,USA,"190,993"
1/07/2020,Document Management,Internal Labor,USA,"192,403"
1/08/2020,Document Management,Internal Labor,USA,"192,403"
1/09/2020,Document Management,Internal Labor,USA,"191,887"
1/10/2020,Document Management,Internal Labor,USA,"195,944"
1/11/2020,Document Management,Internal Labor,USA,"194,240"
1/12/2020,Document Management,Internal Labor,USA,"193,712"
1/01/2020,Document Management,Other,USA,50
1/02/2020,Document Management,Other,USA,50
1/03/2020,Document Management,Other,USA,50
1/04/2020,Document Management,Other,USA,50
1/05/2020,Document Management,Other,USA,50
1/06/2020,Document Management,Other,USA,50
1/07/2020,Document Management,Other,USA,50
1/08/2020,Document Management,Other,USA,50
1/09/2020,Document Management,Other,USA,50
1/10/2020,Document Management,Other,USA,50
1/11/2020,Document Management,Other,USA,50
1/12/2020,Document Management,Other,USA,50
1/01/2020,Document Management,Recognition,USA,86
1/02/2020,Document Management,Recognition,USA,86
1/03/2020,Document Management,Recognition,USA,86
1/04/2020,Document Management,Recognition,USA,86
1/05/2020,Document Management,Recognition,USA,86
1/06/2020,Document Management,Recognition,USA,86
1/07/2020,Document Management,Recognition,USA,86
1/08/2020,Document Management,Recognition,USA,86
1/09/2020,Document Management,Recognition,USA,86
1/10/2020,Document Management,Recognition,USA,86
1/11/2020,Document Management,Recognition,USA,86
1/12/2020,Document Management,Recognition,USA,86
1/01/2020,Document Management,Software,USA,"22,572"
1/02/2020,Document Management,Software,USA,"22,572"
1/03/2020,Document Management,Software,USA,"22,572"
1/04/2020,Document Management,Software,USA,"22,572"
1/05/2020,Document Management,Software,USA,"22,572"
1/06/2020,Document Management,Software,USA,"45,072"
1/07/2020,Document Management,Software,USA,"22,572"
1/08/2020,Document Management,Software,USA,"22,572"
1/09/2020,Document Management,Software,USA,"22,572"
1/10/2020,Document Management,Software,USA,"22,572"
1/11/2020,Document Management,Software,USA,"22,572"
1/12/2020,Document Management,Software,USA,"22,572"
1/01/2020,Document Management,Software Maintenance,USA,"59,530"
1/02/2020,Document Management,Software Maintenance,USA,"80,255"
1/03/2020,Document Management,Software Maintenance,USA,"59,530"
1/04/2020,Document Management,Software Maintenance,USA,"59,530"
1/05/2020,Document Management,Software Maintenance,USA,"59,530"
1/06/2020,Document Management,Software Maintenance,USA,"87,683"
1/07/2020,Document Management,Software Maintenance,USA,"65,483"
1/08/2020,Document Management,Software Maintenance,USA,"65,483"
1/09/2020,Document Management,Software Maintenance,USA,"65,483"
1/10/2020,Document Management,Software Maintenance,USA,"65,924"
1/11/2020,Document Management,Software Maintenance,USA,"65,483"
1/12/2020,Document Management,Software Maintenance,USA,"65,483"
1/01/2020,Document Management,Supplies,USA,705
1/02/2020,Document Management,Supplies,USA,705
1/03/2020,Document Management,Supplies,USA,705
1/04/2020,Document Management,Supplies,USA,705
1/05/2020,Document Management,Supplies,USA,705
1/06/2020,Document Management,Supplies,USA,705
1/07/2020,Document Management,Supplies,USA,705
1/08/2020,Document Management,Supplies,USA,705
1/09/2020,Document Management,Supplies,USA,705
1/10/2020,Document Management,Supplies,USA,705
1/11/2020,Document Management,Supplies,USA,705
1/12/2020,Document Management,Supplies,USA,705
1/01/2020,Document Management,Taxes,USA,120
1/02/2020,Document Management,Taxes,USA,120
1/03/2020,Document Management,Taxes,USA,120
1/04/2020,Document Management,Taxes,USA,120
1/05/2020,Document Management,Taxes,USA,120
1/06/2020,Document Management,Taxes,USA,120
1/07/2020,Document Management,Taxes,USA,120
1/08/2020,Document Management,Taxes,USA,120
1/09/2020,Document Management,Taxes,USA,120
1/10/2020,Document Management,Taxes,USA,120
1/11/2020,Document Management,Taxes,USA,120
1/12/2020,Document Management,Taxes,USA,120
1/01/2020,Document Management,Telecomm,USA,"2,820"
1/02/2020,Document Management,Telecomm,USA,"2,820"
1/03/2020,Document Management,Telecomm,USA,"2,820"
1/04/2020,Document Management,Telecomm,USA,"2,820"
1/05/2020,Document Management,Telecomm,USA,"2,820"
1/06/2020,Document Management,Telecomm,USA,"2,820"
1/07/2020,Document Management,Telecomm,USA,"2,820"
1/08/2020,Document Management,Telecomm,USA,"2,820"
1/09/2020,Document Management,Telecomm,USA,"2,820"
1/10/2020,Document Management,Telecomm,USA,"2,820"
1/11/2020,Document Management,Telecomm,USA,"2,820"
1/12/2020,Document Management,Telecomm,USA,"2,820"
1/01/2020,Document Management,Training,USA,"5,052"
1/02/2020,Document Management,Training,USA,"5,052"
1/03/2020,Document Management,Training,USA,"5,052"
1/04/2020,Document Management,Training,USA,"5,052"
1/05/2020,Document Management,Training,USA,"5,052"
1/06/2020,Document Management,Training,USA,"5,052"
1/07/2020,Document Management,Training,USA,"5,052"
1/08/2020,Document Management,Training,USA,"5,052"
1/09/2020,Document Management,Training,USA,"5,052"
1/10/2020,Document Management,Training,USA,"5,052"
1/11/2020,Document Management,Training,USA,"5,052"
1/12/2020,Document Management,Training,USA,"5,052"
1/01/2020,Document Management,Travel,USA,"2,937"
1/02/2020,Document Management,Travel,USA,"7,137"
1/03/2020,Document Management,Travel,USA,"5,037"
1/04/2020,Document Management,Travel,USA,"5,037"
1/05/2020,Document Management,Travel,USA,"7,137"
1/06/2020,Document Management,Travel,USA,"5,037"
1/07/2020,Document Management,Travel,USA,"5,037"
1/08/2020,Document Management,Travel,USA,"7,137"
1/09/2020,Document Management,Travel,USA,"5,037"
1/10/2020,Document Management,Travel,USA,"2,937"
1/11/2020,Document Management,Travel,USA,"5,037"
1/12/2020,Document Management,Travel,USA,"2,937"
1/01/2020,EIM,Administrative,USA,"-12,437"
1/02/2020,EIM,Administrative,USA,"-12,437"
1/03/2020,EIM,Administrative,USA,"-12,437"
1/04/2020,EIM,Administrative,USA,"-12,437"
1/05/2020,EIM,Administrative,USA,"-12,437"
1/06/2020,EIM,Administrative,USA,"-29,237"
1/07/2020,EIM,Administrative,USA,"-29,237"
1/08/2020,EIM,Administrative,USA,"-29,237"
1/09/2020,EIM,Administrative,USA,"-29,237"
1/10/2020,EIM,Administrative,USA,"-29,237"
1/11/2020,EIM,Administrative,USA,"-29,237"
1/12/2020,EIM,Administrative,USA,"-29,237"
1/01/2020,EIM,Depreciation,USA,58
1/02/2020,EIM,Depreciation,USA,58
1/03/2020,EIM,Depreciation,USA,58
1/04/2020,EIM,Depreciation,USA,58
1/05/2020,EIM,Depreciation,USA,58
1/06/2020,EIM,Depreciation,USA,58
1/07/2020,EIM,Depreciation,USA,58
1/08/2020,EIM,Depreciation,USA,58
1/09/2020,EIM,Depreciation,USA,58
1/10/2020,EIM,Depreciation,USA,58
1/11/2020,EIM,Depreciation,USA,58
1/12/2020,EIM,Depreciation,USA,58
1/01/2020,EIM,Employee Performance,USA,181
1/02/2020,EIM,Employee Performance,USA,181
1/03/2020,EIM,Employee Performance,USA,181
1/04/2020,EIM,Employee Performance,USA,181
1/05/2020,EIM,Employee Performance,USA,181
1/06/2020,EIM,Employee Performance,USA,181
1/07/2020,EIM,Employee Performance,USA,181
1/08/2020,EIM,Employee Performance,USA,181
1/09/2020,EIM,Employee Performance,USA,181
1/10/2020,EIM,Employee Performance,USA,181
1/11/2020,EIM,Employee Performance,USA,181
1/12/2020,EIM,Employee Performance,USA,181
1/01/2020,EIM,External Labor,Italy,"2,873"
1/02/2020,EIM,External Labor,Italy,"2,873"
1/03/2020,EIM,External Labor,Italy,"2,873"
1/04/2020,EIM,External Labor,Italy,"2,873"
1/05/2020,EIM,External Labor,Italy,"2,873"
1/06/2020,EIM,External Labor,Italy,"2,873"
1/01/2020,EIM,External Labor,USA,"80,762"
1/02/2020,EIM,External Labor,USA,"80,762"
1/03/2020,EIM,External Labor,USA,"80,882"
1/04/2020,EIM,External Labor,USA,"82,751"
1/05/2020,EIM,External Labor,USA,"82,361"
1/06/2020,EIM,External Labor,USA,"82,361"
1/07/2020,EIM,External Labor,USA,"77,570"
1/08/2020,EIM,External Labor,USA,"69,434"
1/09/2020,EIM,External Labor,USA,"69,374"
1/10/2020,EIM,External Labor,USA,"69,314"
1/11/2020,EIM,External Labor,USA,"69,314"
1/12/2020,EIM,External Labor,USA,"69,374"
1/01/2020,EIM,Hardware,USA,"1,625"
1/02/2020,EIM,Hardware,USA,"1,625"
1/03/2020,EIM,Hardware,USA,"1,625"
1/04/2020,EIM,Hardware,USA,"1,625"
1/05/2020,EIM,Hardware,USA,125
1/06/2020,EIM,Hardware,USA,125
1/07/2020,EIM,Hardware,USA,125
1/08/2020,EIM,Hardware,USA,125
1/09/2020,EIM,Hardware,USA,125
1/10/2020,EIM,Hardware,USA,125
1/11/2020,EIM,Hardware,USA,125
1/12/2020,EIM,Hardware,USA,125
1/01/2020,EIM,Hardware Maintenance,USA,125
1/02/2020,EIM,Hardware Maintenance,USA,125
1/03/2020,EIM,Hardware Maintenance,USA,125
1/04/2020,EIM,Hardware Maintenance,USA,125
1/05/2020,EIM,Hardware Maintenance,USA,125
1/06/2020,EIM,Hardware Maintenance,USA,125
1/07/2020,EIM,Hardware Maintenance,USA,125
1/08/2020,EIM,Hardware Maintenance,USA,125
1/09/2020,EIM,Hardware Maintenance,USA,125
1/10/2020,EIM,Hardware Maintenance,USA,125
1/11/2020,EIM,Hardware Maintenance,USA,125
1/12/2020,EIM,Hardware Maintenance,USA,125
1/01/2020,EIM,Internal Labor,Italy,"8,045"
1/02/2020,EIM,Internal Labor,Italy,"8,045"
1/03/2020,EIM,Internal Labor,Italy,"8,045"
1/04/2020,EIM,Internal Labor,Italy,"8,045"
1/05/2020,EIM,Internal Labor,Italy,"8,045"
1/06/2020,EIM,Internal Labor,Italy,"8,045"
1/07/2020,EIM,Internal Labor,Italy,"8,045"
1/08/2020,EIM,Internal Labor,Italy,"8,045"
1/09/2020,EIM,Internal Labor,Italy,"8,045"
1/10/2020,EIM,Internal Labor,Italy,"8,045"
1/11/2020,EIM,Internal Labor,Italy,"8,045"
1/12/2020,EIM,Internal Labor,Italy,"8,045"
1/01/2020,EIM,Internal Labor,USA,"107,123"
1/02/2020,EIM,Internal Labor,USA,"109,073"
1/03/2020,EIM,Internal Labor,USA,"118,817"
1/04/2020,EIM,Internal Labor,USA,"110,125"
1/05/2020,EIM,Internal Labor,USA,"109,950"
1/06/2020,EIM,Internal Labor,USA,"109,950"
1/07/2020,EIM,Internal Labor,USA,"110,717"
1/08/2020,EIM,Internal Labor,USA,"110,710"
1/09/2020,EIM,Internal Labor,USA,"110,283"
1/10/2020,EIM,Internal Labor,USA,"112,005"
1/11/2020,EIM,Internal Labor,USA,"110,917"
1/12/2020,EIM,Internal Labor,USA,"110,665"
1/01/2020,EIM,Other,USA,50
1/02/2020,EIM,Other,USA,50
1/03/2020,EIM,Other,USA,50
1/04/2020,EIM,Other,USA,50
1/05/2020,EIM,Other,USA,50
1/06/2020,EIM,Other,USA,50
1/07/2020,EIM,Other,USA,50
1/08/2020,EIM,Other,USA,50
1/09/2020,EIM,Other,USA,50
1/10/2020,EIM,Other,USA,50
1/11/2020,EIM,Other,USA,50
1/12/2020,EIM,Other,USA,50
1/01/2020,EIM,Recognition,USA,47
1/02/2020,EIM,Recognition,USA,47
1/03/2020,EIM,Recognition,USA,47
1/04/2020,EIM,Recognition,USA,47
1/05/2020,EIM,Recognition,USA,47
1/06/2020,EIM,Recognition,USA,47
1/07/2020,EIM,Recognition,USA,47
1/08/2020,EIM,Recognition,USA,47
1/09/2020,EIM,Recognition,USA,47
1/10/2020,EIM,Recognition,USA,47
1/11/2020,EIM,Recognition,USA,47
1/12/2020,EIM,Recognition,USA,47
1/01/2020,EIM,Software,USA,"7,096"
1/02/2020,EIM,Software,USA,"7,096"
1/03/2020,EIM,Software,USA,"7,096"
1/04/2020,EIM,Software,USA,"7,096"
1/05/2020,EIM,Software,USA,"7,096"
1/06/2020,EIM,Software,USA,"7,096"
1/07/2020,EIM,Software,USA,"7,096"
1/08/2020,EIM,Software,USA,"7,096"
1/09/2020,EIM,Software,USA,"7,096"
1/10/2020,EIM,Software,USA,"7,096"
1/11/2020,EIM,Software,USA,"7,096"
1/12/2020,EIM,Software,USA,"7,096"
1/01/2020,EIM,Software Maintenance,USA,"20,986"
